"zemja1","zemja2","godina","vecher","poeni"
"Albania","Lithuania",2009,"F",0
"Andorra","Lithuania",2009,"F",0
"Armenia","Lithuania",2009,"F",0
"Azerbaijan","Lithuania",2009,"F",1
"Belarus","Lithuania",2009,"F",0
"Belgium","Lithuania",2009,"F",0
"Bosnia and Herzegovina","Lithuania",2009,"F",0
"Bulgaria","Lithuania",2009,"F",1
"Croatia","Lithuania",2009,"F",0
"Cyprus","Lithuania",2009,"F",0
"Czech Republic","Lithuania",2009,"F",0
"Denmark","Lithuania",2009,"F",1
"Estonia","Lithuania",2009,"F",2
"Finland","Lithuania",2009,"F",0
"France","Lithuania",2009,"F",0
"Germany","Lithuania",2009,"F",0
"Greece","Lithuania",2009,"F",0
"Hungary","Lithuania",2009,"F",0
"Iceland","Lithuania",2009,"F",0
"Ireland","Lithuania",2009,"F",7
"Israel","Lithuania",2009,"F",0
"Latvia","Lithuania",2009,"F",7
"Macedonia","Lithuania",2009,"F",0
"Malta","Lithuania",2009,"F",0
"Moldova","Lithuania",2009,"F",0
"Montenegro","Lithuania",2009,"F",0
"Netherlands","Lithuania",2009,"F",0
"Norway","Lithuania",2009,"F",0
"Poland","Lithuania",2009,"F",0
"Portugal","Lithuania",2009,"F",0
"Romania","Lithuania",2009,"F",0
"Russia","Lithuania",2009,"F",0
"Serbia","Lithuania",2009,"F",0
"Slovakia","Lithuania",2009,"F",0
"Slovenia","Lithuania",2009,"F",0
"Spain","Lithuania",2009,"F",0
"Sweden","Lithuania",2009,"F",0
"Switzerland","Lithuania",2009,"F",0
"Turkey","Lithuania",2009,"F",0
"Ukraine","Lithuania",2009,"F",0
"United Kingdom","Lithuania",2009,"F",4
"Albania","Israel",2009,"F",0
"Andorra","Israel",2009,"F",7
"Armenia","Israel",2009,"F",0
"Azerbaijan","Israel",2009,"F",0
"Belarus","Israel",2009,"F",0
"Belgium","Israel",2009,"F",8
"Bosnia and Herzegovina","Israel",2009,"F",8
"Bulgaria","Israel",2009,"F",0
"Croatia","Israel",2009,"F",0
"Cyprus","Israel",2009,"F",0
"Czech Republic","Israel",2009,"F",4
"Denmark","Israel",2009,"F",0
"Estonia","Israel",2009,"F",5
"Finland","Israel",2009,"F",0
"France","Israel",2009,"F",10
"Germany","Israel",2009,"F",0
"Greece","Israel",2009,"F",0
"Hungary","Israel",2009,"F",0
"Iceland","Israel",2009,"F",0
"Ireland","Israel",2009,"F",0
"Latvia","Israel",2009,"F",0
"Lithuania","Israel",2009,"F",0
"Macedonia","Israel",2009,"F",0
"Malta","Israel",2009,"F",0
"Moldova","Israel",2009,"F",0
"Montenegro","Israel",2009,"F",4
"Netherlands","Israel",2009,"F",0
"Norway","Israel",2009,"F",0
"Poland","Israel",2009,"F",0
"Portugal","Israel",2009,"F",0
"Romania","Israel",2009,"F",0
"Russia","Israel",2009,"F",0
"Serbia","Israel",2009,"F",0
"Slovakia","Israel",2009,"F",5
"Slovenia","Israel",2009,"F",0
"Spain","Israel",2009,"F",0
"Sweden","Israel",2009,"F",0
"Switzerland","Israel",2009,"F",1
"Turkey","Israel",2009,"F",0
"Ukraine","Israel",2009,"F",1
"United Kingdom","Israel",2009,"F",0
"Albania","France",2009,"F",2
"Andorra","France",2009,"F",3
"Armenia","France",2009,"F",6
"Azerbaijan","France",2009,"F",0
"Belarus","France",2009,"F",7
"Belgium","France",2009,"F",1
"Bosnia and Herzegovina","France",2009,"F",6
"Bulgaria","France",2009,"F",0
"Croatia","France",2009,"F",0
"Cyprus","France",2009,"F",0
"Czech Republic","France",2009,"F",0
"Denmark","France",2009,"F",2
"Estonia","France",2009,"F",0
"Finland","France",2009,"F",4
"Germany","France",2009,"F",3
"Greece","France",2009,"F",6
"Hungary","France",2009,"F",0
"Iceland","France",2009,"F",6
"Ireland","France",2009,"F",3
"Israel","France",2009,"F",5
"Latvia","France",2009,"F",5
"Lithuania","France",2009,"F",6
"Macedonia","France",2009,"F",0
"Malta","France",2009,"F",0
"Moldova","France",2009,"F",0
"Montenegro","France",2009,"F",1
"Netherlands","France",2009,"F",6
"Norway","France",2009,"F",1
"Poland","France",2009,"F",0
"Portugal","France",2009,"F",0
"Romania","France",2009,"F",0
"Russia","France",2009,"F",10
"Serbia","France",2009,"F",3
"Slovakia","France",2009,"F",0
"Slovenia","France",2009,"F",7
"Spain","France",2009,"F",3
"Sweden","France",2009,"F",0
"Switzerland","France",2009,"F",7
"Turkey","France",2009,"F",0
"Ukraine","France",2009,"F",3
"United Kingdom","France",2009,"F",1
"Albania","Sweden",2009,"F",1
"Andorra","Sweden",2009,"F",2
"Armenia","Sweden",2009,"F",0
"Azerbaijan","Sweden",2009,"F",0
"Belarus","Sweden",2009,"F",0
"Belgium","Sweden",2009,"F",0
"Bosnia and Herzegovina","Sweden",2009,"F",0
"Bulgaria","Sweden",2009,"F",0
"Croatia","Sweden",2009,"F",0
"Cyprus","Sweden",2009,"F",0
"Czech Republic","Sweden",2009,"F",0
"Denmark","Sweden",2009,"F",4
"Estonia","Sweden",2009,"F",6
"Finland","Sweden",2009,"F",7
"France","Sweden",2009,"F",2
"Germany","Sweden",2009,"F",0
"Greece","Sweden",2009,"F",0
"Hungary","Sweden",2009,"F",0
"Iceland","Sweden",2009,"F",3
"Ireland","Sweden",2009,"F",0
"Israel","Sweden",2009,"F",0
"Latvia","Sweden",2009,"F",0
"Lithuania","Sweden",2009,"F",0
"Macedonia","Sweden",2009,"F",0
"Malta","Sweden",2009,"F",4
"Moldova","Sweden",2009,"F",0
"Montenegro","Sweden",2009,"F",0
"Netherlands","Sweden",2009,"F",0
"Norway","Sweden",2009,"F",4
"Poland","Sweden",2009,"F",0
"Portugal","Sweden",2009,"F",0
"Romania","Sweden",2009,"F",0
"Russia","Sweden",2009,"F",0
"Serbia","Sweden",2009,"F",0
"Slovakia","Sweden",2009,"F",0
"Slovenia","Sweden",2009,"F",0
"Spain","Sweden",2009,"F",0
"Switzerland","Sweden",2009,"F",0
"Turkey","Sweden",2009,"F",0
"Ukraine","Sweden",2009,"F",0
"United Kingdom","Sweden",2009,"F",0
"Albania","Croatia",2009,"F",0
"Andorra","Croatia",2009,"F",0
"Armenia","Croatia",2009,"F",0
