"id","ime","imeAngliski","avtor"
1,"Love",,1
2,"There Must Be Another Way",,2
3,"Et s'il fallait le faire","And if it had to be done",3
4,"La voix","The voice",4
5,"Lijepa Tena","Beautiful Tena",5
6,"Todas as ruas do amor","All the streets of love",6
7,"Is It True?",,7
8,"This Is Our Night",,8
9,"Jan Jan","My dear",9
10,"Mamo","Mother",10
11,"Always",,11
12,"Bistra voda","Clear water",12
13,"Hora din Moldova","Dance from Moldova",13
14,"What If We",,14
15,"Randajad","Nomads",15
16,"Believe Again",,16
17,"Miss Kiss Kiss Bang",,17
18,"Dum Tek Tek",,18
19,"Carry Me in Your Dreams",,19
20,"Fairytale",,20
21,"Be My Valentine",,21
22,"The Balkan Girls",,22
23,"It's My Time",,23
24,"Lose Control",,24
25,"La noche es para mi","The night is for me",25
26,"Pe-o margine de lume","On an edge of the world",26
27,"Even If",,27
28,"Zemren e lame peng","Hearts trapped in time",28
29,"Disappear",,29
30,"Qele, Qele","Come on, come on",30
31,"Pokusaj","Try",31
32,"The Fire in Your Eyes",,32
33,"Missa miehet ratsastaa","Where men ride",33
34,"Romanca","Romance",34
35,"For Life",,35
36,"This is My Life",,36
37,"Deli","Crazy",37
38,"Senhora do mar (Negras aguas)","Lady of the sea (Dark waters)",38
39,"Wolves of the Sea",,39
40,"Hero",,40
41,"All Night Long",,41
42,"Peace Will Come",,42
43,"Shady Lady",,43
44,"Divine",,44
45,"Day After Day",,45
46,"Secret Combination",,46
47,"Baila el Chiki-chiki","Dance the Chiki-chiki",47
48,"Oro","Hora",48
49,"Believe",,49
50,"Hold On Be Strong",,50
51,"Rijeka bez imena","River without a name",51
52,"I Love You Mi Vida","I love you my darling",52
53,"Work Your Magic",,53
54,"They Can't Stop The Spring",,54
55,"Leave Me Alone",,55
56,"Mojot svet","My world",56
57,"Cvet z juga","Flower of the south",57
58,"Unsubstantial Blues",,58
59,"Love or Leave",,59
60,"Yassou Maria","Hello Maria",60
61,"Visionary Dream",,61
62,"The Worrying Kind",,62
63,"L'amour a la francaise","Love - the French way",63
64,"Questa notte","Tonight",64
65,"Song #1",,65
66,"Frauen regier'n die Welt","Women rule the world",66
67,"Molitva","Prayer",67
68,"Dancing Lasha Tumbai",,68
69,"Flying the Flag (for You)",,69
70,"Liubi, Liubi, I Love You","Love, Love, I Love You",70
71,"Water",,71
72,"Shake It Up Sekerim","Shake it up sweetheart",72
73,"Anytime You Need",,73
74,"Fight",,74
75,"If We All Give A Little",,75
76,"Loca","Crazy",76
77,"Together We Are One",,77
78,"I Hear Your Heart",,78
79,"Alvedansen","The Elf Dance",79
80,"Un Blodymary","A Bloody Mary",80
81,"I Do",,81
82,"No No Never",,82
83,"Twist of Love",,83
84,"Never Let You Go",,49
85,"Ninanajna",,84
86,"Tornero","I'll Return",85
87,"Lejla","Layla",86
88,"We Are The Winners",,87
89,"Teenage Life",,88
90,"Everything",,89
91,"Hard Rock Hallelujah",,90
92,"Show Me Your Love",,91
93,"Il etait temps","It Was Time",92
94,"Moja stikla","My High Heel",93
95,"Every Song Is a Cry for Love",,94
96,"Invincible",,95
97,"Super Star","Superstar",96
98,"Without Your Love",,97
99,"Forogj, vilag!","Spin, World",98
100,"Touch My Fire",,99
101,"Angel",,14
102,"Let Me Try",,100
103,"In My Dreams",,101
104,"Rimi Rimi Ley",,102
105,"Boonika bate doba","Grandmamma Beats The Drum",103
106,"Tomorrow I Go",,104
107,"Ela Ela (Come Baby)",,105
108,"Brujeria","Witchcraft",106
109,"Hasheket Shenish'ar","The Silence That Remains",107
110,"Zauvijek moja","Forever Mine",108
111,"Talking to You",,109
112,"Las Vegas",,110
113,"Make My Day",,111
114,"Razom nas bahato","Together We Are Many",112
115,"Run and Hide",,113
116,"Vukovi umiru sami","Wolves Die Alone",114
117,"My Number One",,115
118,"Nobody Hurt No One",,116
119,"Call Me",,117
120,"Cool Vibes",,118
121,"The War Is Not Over",,119
122,"Chacun pense a soi","Everyone Thinks of Themselves",120
123,"Para llenarme de ti","To Be Filled By You",121
