"pesna","jazik"
1,"English"
1,"Russian"
2,"English"
2,"Hebrew"
2,"Arabic"
3,"French"
4,"English"
4,"French"
5,"Croatian"
6,"Portuguese"
7,"English"
8,"English"
9,"English"
9,"Armenian"
10,"Russian"
10,"Ukrainian"
11,"English"
12,"Bosnian"
13,"Romanian"
13,"English"
14,"English"
15,"Estonian"
16,"English"
17,"English"
18,"English"
19,"English"
20,"English"
21,"English"
22,"English"
23,"English"
24,"English"
25,"Spanish"
25,"English"
26,"Romanian"
26,"Italian"
27,"English"
28,"Albanian"
29,"English"
30,"English"
30,"Armenian"
31,"Bosnian"
32,"Hebrew"
32,"English"
33,"Finnish"
34,"Croatian"
35,"English"
36,"English"
37,"Turkish"
38,"Portuguese"
39,"English"
40,"English"
41,"English"
42,"English"
43,"English"
44,"English"
44,"French"
45,"English"
46,"English"
47,"Spanish"
47,"English"
48,"Serbian"
49,"English"
50,"English"
51,"Bosnian"
52,"Spanish"
52,"English"
53,"English"
54,"English"
55,"English"
56,"Macedonian"
56,"English"
57,"Slovene"
58,"English"
59,"English"
60,"English"
61,"English"
62,"English"
63,"French"
63,"English (Franglais)"
64,"Italian"
65,"English"
66,"German"
66,"English"
67,"Serbian"
68,"Ukrainian"
68,"German"
68,"English"
69,"English"
70,"English"
70,"Italian"
70,"Spanish,"
71,"Russian"
71,"French"
71,"Romanian"
72,"English"
73,"English"
73,"Armenian"
74,"English"
75,"English"
76,"English"
77,"English"
77,"Hebrew"
78,"English"
79,"Norwegian"
80,"Spanish"
81,"English"
82,"English"
83,"English"
84,"English"
85,"English"
85,"Macedonian"
86,"English"
86,"Italian"
87,"Bosnian"
88,"English"
88,"French"
89,"English"
90,"English"
91,"English"
92,"English"
93,"French"
94,"Croatian"
95,"English"
96,"English"
97,"Turkish"
97,"English"
98,"English"
99,"Hungarian"
100,"English"
101,"English"
102,"English"
103,"English"
104,"Turkish"
105,"English"
105,"Romanian"
106,"English"
107,"English"
108,"Spanish"
109,"English"
109,"Hebrew"
110,"Montenegrin [3]"
111,"English"
112,"English"
113,"English"
114,"English"
114,"Ukrainian"
115,"English"
116,"Croatian"
117,"English"
118,"English"
119,"English"
120,"English"
121,"English"
122,"French"
123,"Spanish"
124,"German"
125,"English"
126,"French"
126,"Spanish"
127,"Serbian"
128,"English"
129,"English"
130,"English"
130,"Turkish"
131,"English"
132,"English"
132,"Ukrainian"
133,"English"
134,"English"
135,"English"
136,"English"
137,"English"
138,"English"
139,"English"
140,"English"
141,"English"
141,"Spanish"
142,"English"
143,"English"
144,"English"
145,"English"
146,"English"
147,"English"
148,"Styrian"
149,"English"
150,"English"
151,"English"
152,"Croatian"
152,"English"
153,"Portuguese"
153,"English"
154,"Croatian"
154,"English"
155,"English"
156,"English"
157,"Russian"
158,"Spanish"
159,"English"
159,"Hebrew"
160,"English"
161,"English"
162,"English"
163,"English"
164,"English"
165,"French"
166,"German"
166,"Polish"
166,"Russian"
167,"English"
168,"Imaginary"
169,"English"
170,"English"
171,"English"
172,"English"
173,"English"
174,"English"
175,"English"
176,"English"
177,"Spanish"
178,"English"
179,"English"
180,"English"
181,"Macedonian"
182,"Hebrew"
182,"English"
183,"French"
184,"English"
185,"English"
186,"English"
187,"Serbian"
187,"English"
188,"English"
189,"French"
190,"English"
191,"Turkish"
191,"English"
192,"English"
193,"English"
194,"Slovene"
195,"English"
196,"English"
197,"English"
198,"English"
199,"Bosnian"
199,"English"
200,"English"
201,"Hebrew"
202,"English"
203,"English"
204,"English"
204,"Lithuanian"
205,"English"
206,"English"
207,"Portuguese"
208,"English"
209,"Spanish"
210,"French"
210,"English"
211,"Turkish"
211,"English"
212,"English"
213,"English"
214,"English"
215,"German"
215,"English"
216,"English"
217,"English"
218,"Greek"
218,"English"
219,"English"
220,"Hebrew"
221,"English"
222,"English"
223,"English"
224,"French"
225,"English"
226,"English"
226,"Maltese"
227,"English"
228,"English"
229,"French"
230,"Greek"
230,"Italian"
231,"English"
232,"Spanish"
233,"English"
234,"German"
235,"Italian"
236,"Croatian"
237,"English"
238,"Macedonian"
238,"English"
239,"English"
240,"English"
241,"Turkish"
241,"English"
242,"English"
243,"English"
244,"Samogitian"
245,"English"
246,"Spanish"
247,"Croatian"
248,"English"
249,"English"
250,"Turkish"
251,"English"
252,"English"
253,"French"
254,"English"
255,"Polish"
256,"English"
257,"Greek"
258,"English"
259,"Portuguese"
260,"English"
261,"English"
262,"English"
262,"Hebrew"
263,"English"
264,"German"
264,"Turkish"
264,"Hebrew"
264,"English"
265,"Bosnian"
265,"French"
266,"English"
267,"Croatian"
268,"Greek"
269,"French"
270,"Spanish"
271,"German"
272,"Slovak"
273,"Polish"
274,"Hebrew"
275,"German"
276,"English"
277,"Hungarian"
278,"Slovene"
279,"English"
280,"Portuguese"
281,"Romanian"
282,"English"
283,"Greek"
284,"Dutch"
285,"Swedish"
286,"French"
287,"Finnish"
288,"Norwegian"
289,"Estonian"
290,"Turkish"
291,"Macedonian"
292,"English"
293,"English"
293,"Romani"
294,"English"
295,"English"
296,"English"
296,"Catalan"
297,"English"
298,"English"
299,"Macedonian"
300,"English"
301,"Russian"
302,"Serbian"
303,"English"
304,"English"
305,"Slovak"
306,"English"
306,"Slovene"
307,"English"
308,"English"
309,"Montenegrin"
310,"Serbian"
310,"German"
310,"Finnish"
311,"English"
312,"Italian"
313,"Imaginary"
314,"English"
314,"Slovene"
315,"English"
316,"English"
316,"Catalan"
317,"English"
318,"English"
319,"English"
320,"Italian"
321,"English"
322,"English"
323,"English"
324,"English"
324,"Hungarian"
325,"English"
326,"Greek"
327,"English"
71,"Bulgarian"
328,"English"
328,"French"
328,"Hebrew"
329,"French"
330,"English"
331,"English"
332,"Montenegrin"
333,"English"
334,"English"
335,"English"
335,"Albanian"
336,"English"
337,"Croatian"
337,"English"
338,"English"
339,"Czech"
340,"Portuguese"
340,"English"
340,"Spanish"
340,"French"
341,"English"
341,"Spanish"
342,"English"
343,"Catalan"
343,"English"
344,"English"
345,"English"
346,"English"
347,"English"
348,"English"
349,"Catalan"
350,"English"
351,"Albanian"
352,"English"
353,"English"
354,"French"
354,"Tahitian"
355,"English"
355,"Polish"
355,"German"
355,"Russian"
356,"English"
356,"Imaginary"
357,"English"
357,"Portuguese"
358,"English"
359,"English"
360,"English"
360,"Spanish"
361,"English"
362,"English"
362,"Portuguese"
363,"French"
364,"English"
365,"English"
366,"English"
367,"French"
368,"English"
369,"English"
370,"Catalan"
371,"Croatian"
372,"English"
373,"English"
374,"Slovene"
375,"Polish"
375,"Russian"
376,"English"
377,"English"
378,"English"
379,"Latvian"
380,"English"
380,"Hebrew"
381,"Catalan"
382,"Portuguese"
383,"French"
384,"English"
385,"English"
386,"Voro"
387,"English"
