"godina","vecher","pesna","mesto","poeni","cenaOblozhuvanje"
"2009","F",1,"23",23,270.202435990797
"2009","F",2,"16",53,236.30934045829
"2009","F",3,"8",107,35.8419824806203
"2009","F",4,"21",33,63.2611620030022
"2009","F",5,"18",45,607.325179900593
"2009","F",6,"15",57,197.462957073479
"2009","F",7,"2",218,32.5284316260777
"2009","F",8,"7",120,9.08040471280756
"2009","F",9,"10",92,129.48645721773
"2009","F",10,"11",91,125.499308513866
"2009","F",11,"3",207,12.4108564549418
"2009","F",12,"9",106,25.3284877364489
"2009","F",13,"14",69,260.932625364416
"2009","F",14,"22",31,57.2534314016583
"2009","F",15,"6",129,62.2218928764047
"2009","F",16,"13",74,88.7527920116345
"2009","F",17,"20",35,125.158271245154
"2009","F",18,"4",177,16.4033775781448
"2009","F",19,"17",48,146.916977196098
"2009","F",20,"1",387,1.72796231291585
"2009","F",21,"12",76,27.5964112385976
"2009","F",22,"19",40,210.153066805113
"2009","F",23,"5",173,16.1382302912923
"2009","F",24,"25",22,88.7850870441485
"2009","F",25,"23",23,108.003579241079
"2008","F",26,"20",45,94.6019985893489
"2008","F",27,"25",14,265.234197792859
"2008","F",28,"17",43,270.145213224148
"2008","F",29,"23",14,347.838530538022
"2008","F",30,"4",198,14.3399813125113
"2008","F",31,"10",105,28.62010719468
"2008","F",32,"9",124,120.02920445604
"2008","F",33,"22",35,31.199916448163
"2008","F",34,"21",42,247.984664603455
"2008","F",35,"24",14,207.506808578976
"2008","F",36,"14",64,105.088741989189
"2008","F",37,"7",131,33.9377639076297
"2008","F",38,"13",69,58.9802955394306
"2008","F",39,"12",83,61.8149817223313
"2008","F",40,"18",47,16.0449586604854
"2008","F",41,"15",60,106.272199858427
"2008","F",42,"11",83,84.0277056368902
"2008","F",43,"2",226,5.33875017406219
"2008","F",44,"19",47,91.3644093563473
"2008","F",45,"8",124,90.3765547933556
"2008","F",46,"3",215,8.80150716154351
"2008","F",47,"16",55,43.4565336980014
"2008","F",48,"6",150,10.5033699045737
"2008","F",49,"1",266,2.50603289832811
"2008","F",50,"5",182,47.5926542786482
"2007","F",51,"11",106,188.42461971765
"2007","F",52,"20",43,125.48506276117
"2007","F",53,"6",145,10.8475911810567
"2007","F",54,"24",5,100.474112362554
"2007","F",55,"17",53,68.3689516685452
"2007","F",56,"14",73,94.752413525919
"2007","F",57,"15",66,64.4641434812931
"2007","F",58,"9",128,55.0213966474795
"2007","F",59,"21",28,274.098723262773
"2007","F",60,"7",139,28.8373822434093
"2007","F",61,"12",97,51.209743042851
"2007","F",62,"18",51,10.8195614868509
"2007","F",63,"22",19,143.928733746344
"2007","F",64,"16",54,17.907234895789
"2007","F",65,"3",207,7.11326698049432
"2007","F",66,"19",49,84.4802484669483
"2007","F",67,"1",268,2.6741895301745
"2007","F",68,"2",235,6.13402202388472
"2007","F",69,"23",19,66.3408252858594
"2007","F",70,"13",84,59.8460978724259
"2007","F",71,"5",157,18.4313696401712
"2007","F",72,"4",163,53.7888580042388
"2007","F",73,"8",138,131.640633711439
"2007","F",74,"10",107,40.7050941172212
"2006","F",75,"16",30,130.452566443498
"2006","F",76,"20",22,356.059948184043
"2006","F",77,"23",4,493.862269089907
"2006","F",78,"16",30,164.370473327552
"2006","F",79,"14",36,37.8644608053365
"2006","F",80,"21",18,305.549720823732
"2006","F",81,"24",1,187.142174878638
"2006","F",82,"14",36,23.6123112760122
"2006","F",83,"18",26,88.5695602774773
"2006","F",84,"2",248,17.8035178618483
"2006","F",85,"12",56,67.6176160915343
"2006","F",86,"4",176,7.85320527982949
"2006","F",87,"3",229,9.65815940450517
"2006","F",88,"6",162,89.5420316511892
"2006","F",89,"19",25,27.8582431077792
"2006","F",90,"9",128,6.04778983673446
"2006","F",91,"1",292,2.54610578257086
"2006","F",92,"7",145,37.9502982309358
"2006","F",93,"22",5,397.123625542666
"2006","F",94,"12",56,58.5827052374098
"2006","F",95,"10",93,48.1874353189624
"2006","F",96,"5",170,5.16643144134188
"2006","F",97,"11",91,139.418189911386
"2006","F",98,"8",129,124.338228104696
"2005","F",99,"12",97,12.8444615326807
"2005","F",100,"22",18,64.1761283246903
"2005","F",101,"2",192,17.5763411060902
"2005","F",102,"3",158,19.3290754263969
"2005","F",103,"9",125,7.63274972194753
"2005","F",104,"13",92,131.805468515486
"2005","F",105,"6",148,35.2257029699584
"2005","F",106,"16",53,130.572496126588
"2005","F",107,"18",46,61.889367879753
"2005","F",108,"21",28,105.247847121907
"2005","F",109,"4",154,22.7545473835426
"2005","F",110,"7",137,60.8022108902201
"2005","F",111,"10",125,31.4897347701994
"2005","F",112,"19",30,63.098614954264
"2005","F",113,"17",52,257.786222380042
"2005","F",114,"19",30,156.060710564022
"2005","F",115,"24",4,224.074685466887
"2005","F",116,"11",115,102.694530706017
"2005","F",117,"1",230,2.14124829031031
"2005","F",118,"15",57,96.9303437517773
"2005","F",119,"14",79,16.6200319081529
"2005","F",120,"8",128,12.5309913702437
"2005","F",121,"5",153,20.8571428345234
"2005","F",122,"23",11,245.745245187298
"2004","F",123,"10",87,86.722115341428
"2004","F",124,"21",9,371.000370289697
"2004","F",125,"24",3,117.77062839185
"2004","F",126,"15",40,109.551253582148
"2004","F",127,"2",263,6.59112354290168
"2004","F",128,"12",50,35.3271862747894
"2004","F",129,"20",11,136.549381974378
"2004","F",130,"8",93,15.9322387724949
"2004","F",131,"7",106,41.9638782128273
"2004","F",132,"1",280,2.39528777856897
"2004","F",133,"12",50,223.454574181316
"2004","F",134,"9",91,64.1802325237929
"2004","F",135,"22",7,14.9834580265333
"2004","F",136,"11",67,42.6950349290491
"2004","F",137,"14",47,221.584408062944
"2004","F",138,"3",252,5.23165042100468
"2004","F",139,"19",16,67.7344862214608
"2004","F",140,"22",7,22.4605245978131
"2004","F",141,"17",27,54.4383317027286
"2004","F",142,"16",29,47.9687695397923
"2004","F",143,"5",170,10.0153967280675
"2004","F",144,"4",195,31.2638313245098
"2004","F",145,"18",18,68.6136861035868
"2004","F",146,"5",170,11.4269031231428
"2003","F",147,"8",81,0
"2003","F",148,"6",101,0
"2003","F",149,"11",53,0
"2003","F",150,"1",167,0
"2003","F",151,"25",4,0
"2003","F",152,"16",27,0
"2003","F",153,"22",13,0
"2003","F",154,"15",29,0
"2003","F",155,"20",15,0
"2003","F",156,"11",53,0
"2003","F",157,"3",164,0
"2003","F",158,"8",81,0
"2003","F",159,"19",17,0
"2003","F",160,"13",45,0
"2003","F",161,"26",0,0
"2003","F",162,"14",30,0
"2003","F",163,"17",25,0
"2003","F",164,"4",123,0
"2003","F",165,"18",19,0
"2003","F",166,"7",90,0
"2003","F",167,"24",5,0
"2003","F",168,"2",165,0
"2003","F",169,"21",14,0
"2003","F",170,"10",73,0
"2003","F",171,"5",107,0
"2003","F",172,"23",7,0
"2002","F",173,"6",85,0
"2002","F",174,"3",111,0
"2002","F",175,"18",26,0
"2002","F",176,"17",27,0
"2002","F",177,"7",81,0
"2002","F",178,"11",44,0
"2002","F",179,"10",55,0
"2002","F",180,"3",111,0
"2002","F",181,"19",25,0
"2002","F",182,"12",37,0
"2002","F",183,"22",15,0
"2002","F",184,"8",72,0
"2002","F",185,"20",24,0
"2002","F",186,"24",7,0
"2002","F",187,"13",33,0
"2002","F",188,"13",33,0
"2002","F",189,"5",104,0
"2002","F",190,"21",17,0
"2002","F",191,"16",29,0
"2002","F",192,"2",164,0
"2002","F",193,"9",71,0
"2002","F",194,"13",33,0
"2002","F",195,"1",176,0
"2002","F",196,"23",12,0
"2001","F",197,"18",16,0
