"ime","region"
"Lithuania","Former Socialist Bloc"
"Israel","Independent"
"France","Western Europe"
"Sweden","Scandinavia"
"Croatia","Former Yugoslavia"
"Portugal","Western Europe"
"Iceland","Scandinavia"
"Greece","Western Europe"
"Armenia","Former Socialist Bloc"
"Russia","Former Socialist Bloc"
"Azerbaijan","Former Socialist Bloc"
"Bosnia and Herzegovina","Former Yugoslavia"
"Moldova","Former Socialist Bloc"
"Malta","Western Europe"
"Estonia","Former Socialist Bloc"
"Denmark","Scandinavia"
"Germany","Western Europe"
"Turkey","Independent"
"Albania","Former Socialist Bloc"
"Norway","Scandinavia"
"Ukraine","Former Socialist Bloc"
"Romania","Former Socialist Bloc"
"United Kingdom","Independent"
"Finland","Scandinavia"
"Spain","Western Europe"
"Poland","Former Socialist Bloc"
"Latvia","Former Socialist Bloc"
"Georgia","Former Socialist Bloc"
"Serbia","Former Yugoslavia"
"Belarus","Former Socialist Bloc"
"Ireland","Independent"
"Macedonia","Former Yugoslavia"
"Slovenia","Former Yugoslavia"
"Hungary","Former Socialist Bloc"
"Bulgaria","Former Socialist Bloc"
"Switzerland","Western Europe"
"Cyprus","Independent"
"Serbia and Montenegro","Former Yugoslavia"
"Austria","Western Europe"
"Netherlands","Western Europe"
"Belgium","Western Europe"
"Slovakia","Former Socialist Bloc"
"Montenegro","Former Yugoslavia"
"Czech Republic","Former Socialist Bloc"
"Andorra","Western Europe"
"San Marino","Western Europe"
"Monaco","Western Europe"
